date,description,amount
2026-05-01,Netflix Subscription,-1500
2026-05-02,Grocery Store - Imtiaz,-4500
2026-05-03,Careem Ride,-650
2026-05-04,Salary Credit,85000
2026-05-05,Netflix Subscription,-1500
2026-05-06,Electricity Bill,-6200
2026-05-07,Spotify Premium,-850
2026-05-08,Grocery Store - Imtiaz,-3200
2026-05-09,Careem Ride,-450
2026-05-10,Coffee Shop,-600
2026-05-11,Spotify Premium,-850
2026-05-12,Mobile Recharge,-1000
2026-05-13,Gym Membership,-3000
2026-05-14,Amazon Purchase,-7500
2026-05-15,Netflix Subscription,-1500
2026-05-16,Restaurant - KFC,-1800
2026-05-17,Gym Membership,-3000
2026-05-18,Grocery Store - Imtiaz,-4100
2026-05-19,Internet Bill,-3500
2026-05-20,Careem Ride,-700
2026-05-21,Coffee Shop,-600
2026-05-22,Disney+ Subscription,-1200
2026-05-23,Restaurant - KFC,-1800
2026-05-24,Grocery Store - Imtiaz,-3900
2026-05-25,Mobile Recharge,-1000
2026-05-26,Careem Ride,-650
2026-05-27,Coffee Shop,-600
2026-05-28,Freelance Payment,15000
2026-05-29,Disney+ Subscription,-1200
2026-05-30,Grocery Store - Imtiaz,-4500
